Date,Rating,Review_No_x,Review_No_y,Perc
2017-06-07,3,5,133,0.03759398496240601
2017-06-07,4,17,133,0.12781954887218044
2017-06-07,5,95,133,0.7142857142857143
2017-06-08,1,6,145,0.041379310344827586
2017-06-08,2,2,145,0.013793103448275862
2017-06-08,3,6,145,0.041379310344827586
2017-06-08,4,23,145,0.15862068965517243
2017-06-08,5,108,145,0.7448275862068966
2017-06-09,1,7,117,0.05982905982905983
2017-06-09,2,1,117,0.008547008547008548
2017-06-09,3,8,117,0.06837606837606838
2017-06-09,4,14,117,0.11965811965811966
2017-06-09,5,87,117,0.7435897435897436
2017-06-10,1,2,121,0.01652892561983471
2017-06-10,2,1,121,0.008264462809917356
2017-06-10,3,3,121,0.024793388429752067
2017-06-10,4,15,121,0.12396694214876033
2017-06-10,5,100,121,0.8264462809917356
2017-06-11,1,6,176,0.03409090909090909
2017-06-11,2,3,176,0.017045454545454544
2017-06-11,3,6,176,0.03409090909090909
2017-06-11,4,16,176,0.09090909090909091
2017-06-11,5,145,176,0.8238636363636364
2017-06-12,1,7,167,0.041916167664670656
2017-06-12,2,3,167,0.017964071856287425
2017-06-12,3,8,167,0.04790419161676647
2017-06-12,4,18,167,0.10778443113772455
2017-06-12,5,131,167,0.7844311377245509
2017-06-13,1,9,138,0.06521739130434782
2017-06-13,2,2,138,0.014492753623188406
2017-06-13,3,6,138,0.043478260869565216
2017-06-13,4,17,138,0.12318840579710146
2017-06-13,5,104,138,0.7536231884057971
2017-06-14,1,7,135,0.05185185185185185
2017-06-14,2,3,135,0.022222222222222223
2017-06-14,3,7,135,0.05185185185185185
2017-06-14,4,20,135,0.14814814814814814
2017-06-14,5,98,135,0.725925925925926
2017-06-15,1,4,127,0.031496062992125984
2017-06-15,2,2,127,0.015748031496062992
2017-06-15,3,5,127,0.03937007874015748
2017-06-15,4,16,127,0.12598425196850394
2017-06-15,5,100,127,0.7874015748031497
2017-06-16,1,5,121,0.04132231404958678
2017-06-16,2,1,121,0.008264462809917356
2017-06-16,3,4,121,0.03305785123966942
2017-06-16,4,14,121,0.11570247933884298
2017-06-16,5,97,121,0.8016528925619835
2017-06-17,1,4,131,0.030534351145038167
2017-06-17,2,4,131,0.030534351145038167
2017-06-17,3,3,131,0.022900763358778626
2017-06-17,4,14,131,0.10687022900763359
2017-06-17,5,106,131,0.8091603053435115
2017-06-18,1,8,129,0.06201550387596899
2017-06-18,2,4,129,0.031007751937984496
2017-06-18,3,8,129,0.06201550387596899
2017-06-18,4,9,129,0.06976744186046512
2017-06-18,5,100,129,0.7751937984496124
2017-06-19,1,4,116,0.034482758620689655
2017-06-19,3,5,116,0.04310344827586207
2017-06-19,4,16,116,0.13793103448275862
2017-06-19,5,91,116,0.7844827586206896
2017-06-20,1,3,124,0.024193548387096774
2017-06-20,2,2,124,0.016129032258064516
2017-06-20,3,7,124,0.056451612903225805
2017-06-20,4,14,124,0.11290322580645161
2017-06-20,5,98,124,0.7903225806451613
2017-06-21,1,9,103,0.08737864077669903
2017-06-21,2,3,103,0.02912621359223301
2017-06-21,3,3,103,0.02912621359223301
2017-06-21,4,11,103,0.10679611650485436
2017-06-21,5,77,103,0.7475728155339806
2017-06-22,1,6,135,0.044444444444444446
2017-06-22,2,2,135,0.014814814814814815
2017-06-22,3,3,135,0.022222222222222223
2017-06-22,4,18,135,0.13333333333333333
2017-06-22,5,106,135,0.7851851851851852
2017-06-23,1,11,124,0.08870967741935484
2017-06-23,2,3,124,0.024193548387096774
2017-06-23,3,6,124,0.04838709677419355
2017-06-23,4,14,124,0.11290322580645161
2017-06-23,5,90,124,0.7258064516129032
2017-06-24,1,6,122,0.04918032786885246
2017-06-24,2,4,122,0.03278688524590164
2017-06-24,3,5,122,0.040983606557377046
2017-06-24,4,9,122,0.07377049180327869
2017-06-24,5,98,122,0.8032786885245902
2017-06-25,1,12,130,0.09230769230769231
2017-06-25,3,7,130,0.05384615384615385
2017-06-25,4,11,130,0.08461538461538462
2017-06-25,5,100,130,0.7692307692307693
2017-06-26,1,5,115,0.043478260869565216
2017-06-26,2,3,115,0.02608695652173913
2017-06-26,3,1,115,0.008695652173913044
2017-06-26,4,10,115,0.08695652173913043
2017-06-26,5,96,115,0.8347826086956521
2017-06-27,1,5,124,0.04032258064516129
2017-06-27,2,3,124,0.024193548387096774
2017-06-27,3,3,124,0.024193548387096774
2017-06-27,4,15,124,0.12096774193548387
2017-06-27,5,98,124,0.7903225806451613
2017-06-28,1,8,151,0.052980132450331126
2017-06-28,3,11,151,0.0728476821192053
2017-06-28,4,19,151,0.12582781456953643
2017-06-28,5,113,151,0.7483443708609272
2017-06-29,1,8,137,0.058394160583941604
2017-06-29,2,3,137,0.021897810218978103
2017-06-29,3,3,137,0.021897810218978103
2017-06-29,4,13,137,0.0948905109489051
2017-06-29,5,110,137,0.8029197080291971
2017-06-30,1,8,175,0.045714285714285714
2017-06-30,2,2,175,0.011428571428571429
2017-06-30,3,8,175,0.045714285714285714
2017-06-30,4,23,175,0.13142857142857142
2017-06-30,5,134,175,0.7657142857142857
2017-07-01,1,8,203,0.03940886699507389
2017-07-01,2,4,203,0.019704433497536946
2017-07-01,3,8,203,0.03940886699507389
2017-07-01,4,23,203,0.11330049261083744
2017-07-01,5,160,203,0.7881773399014779
2017-07-02,1,15,214,0.07009345794392523
2017-07-02,2,3,214,0.014018691588785047
2017-07-02,3,9,214,0.04205607476635514
2017-07-02,4,29,214,0.13551401869158877
2017-07-02,5,158,214,0.7383177570093458
2017-07-03,1,10,173,0.057803468208092484
2017-07-03,2,5,173,0.028901734104046242
2017-07-03,3,6,173,0.03468208092485549
2017-07-03,4,15,173,0.08670520231213873
2017-07-03,5,137,173,0.791907514450867
2017-07-04,1,7,147,0.047619047619047616
2017-07-04,2,1,147,0.006802721088435374
2017-07-04,3,5,147,0.034013605442176874
2017-07-04,4,13,147,0.08843537414965986
2017-07-04,5,121,147,0.8231292517006803
